Date,Team,Relinquished,Notes,Notes2
2002-01-24,Wizards,Christian Laettner,placed on IL with deep right thigh bruise,deep right thigh bruise
2002-01-25,Celtics,Kedrick Brown,placed on IL with a sprained right ankle,a sprained right ankle
2002-01-25,Pacers,Al Harrington,placed on IL with torn ACL in right knee,torn ACL in right knee
2002-01-25,Spurs,Jason Hart,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-26,Bulls,Greg Anthony,placed on IR with partially torn right Achilles tendon,partially torn right Achilles tendon
2002-01-26,Bulls,Ron Mercer,placed on IL with sprained MCL in right knee,sprained MCL in right knee
2002-01-26,Cavaliers,Jeff Trepagnier,placed on IL with right knee tendinitis,right knee tendinitis
2002-01-26,Warriors,Dean Oliver,placed on IR with left shoulder tendinitis,left shoulder tendinitis
2002-01-28,Jazz,John Crotty,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-29,Mavericks,Charlie Bell,placed on IL with sprained right ankle,sprained right ankle
2002-01-30,Wizards,Bobby Simmons,placed on IL with left knee tendinitis,left knee tendinitis
2002-01-31,Nets,Brandon Armstrong,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-01-31,Raptors,Hakeem Olajuwon,placed on IL with strained right quadriceps,strained right quadriceps
2002-02-01,Heat,Malik Allen,placed on IL with right knee tendinitis,right knee tendinitis
2002-02-01,Nuggets,Scott Williams,placed on IL with sore lower back,sore lower back
2002-02-01,Timberwolves,Maurice Evans,placed on IL with left knee tendinitis,left knee tendinitis
2002-02-02,Cavaliers,Trajan Langdon,placed on IL with sprained right ankle,sprained right ankle
2002-02-03,Knicks,Marcus Camby,placed on IL with torn muscle & bone contusion of right hip (out for season),torn muscle & bone contusion of right hip (out for season)
2002-02-05,Hornets,David Wesley,placed on IR with cracked bone in left foot,cracked bone in left foot
2002-02-05,Mavericks,Donnell Harvey,placed on IL with sprained right ankle,sprained right ankle
2002-02-07,Lakers,Shaquille O'Neal,placed on IR with arthritic right big toe,arthritic right big toe
2002-02-12,Magic,Jeryl Sasser,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-02-12,Pistons,Brian Cardinal,placed on IL with patella tendinitis in both knees,patella tendinitis in both knees
2002-02-12,Pistons,Victor Alexander,placed on IL with back spasms,back spasms
2002-02-12,Raptors,Vince Carter,placed on IL with strained left quadriceps,strained left quadriceps
2002-02-12,Wizards,Kwame Brown,placed on IL with pulled hamstring and strained left calf,pulled hamstring and strained left calf
2002-02-13,Grizzlies,Nick Anderson,placed on IL with sprained left wrist,sprained left wrist
2002-02-13,Hornets,Matt Bullard,placed on IL with back spasms,back spasms
2002-02-13,Suns,Alton Ford,placed on IL with back spasms,back spasms
2002-02-13,Timberwolves,Terrell Brandon,placed on IL with left knee synovitis,left knee synovitis
2002-02-14,Grizzlies,Isaac Austin / Ike Austin,placed on IL with right knee tendinitis,right knee tendinitis
2002-02-14,Nets,Donny Marshall,placed on IL with hamstring injury,hamstring injury
2002-02-14,Spurs,Amal McCaskill,placed on IL with left knee tendinitis,left knee tendinitis
2002-02-15,Cavaliers,Vernell Coles / Bimbo Coles,placed on IL with sprained left knee,sprained left knee
2002-02-15,Mavericks,Greg Buckner,placed on IL with strained left calf,strained left calf
2002-02-15,Warriors,Cedric Henderson (E.),placed on IL with sprained right ankle,sprained right ankle
2002-02-16,Cavaliers,Brian Skinner,placed on IL with neck spasms,neck spasms
2002-02-17,Hawks,Theo Ratliff,placed on IL with strained right hip,strained right hip
2002-02-18,76ers,Derrick McKey,placed on IL with strained left calf,strained left calf
2002-02-18,Blazers,Zach Randolph,placed on IL with strained right ankle,strained right ankle
2002-02-18,Nuggets,Chris Andersen,placed on IL with chipped bone in right wrist,chipped bone in right wrist
2002-02-19,Celtics,Joseph Forte,placed on IL with sprained left ankle,sprained left ankle
2002-02-19,Lakers,Samaki Walker,placed on IL with hyperextended right elbow,hyperextended right elbow
2002-02-20,Bulls,Norm Richardson,placed on IL with sprained left ankle,sprained left ankle
2002-02-21,Mavericks,Adrian Griffin,placed on IL with back spasms,back spasms
2002-02-21,Mavericks,Shawn Bradley,placed on IL with sore right knee,sore right knee
2002-02-21,Suns,Jake Voskuhl,placed on IL with left foot injury,left foot injury
2002-02-22,Clippers,Corey Maggette,placed on IR with dislocated right and pinky fingers on right hand,dislocated right and pinky fingers on right hand
2002-02-22,Nets,Todd MacCulloch,placed on IR with plantar fasciaitis in left foot,plantar fasciaitis in left foot
2002-02-22,Raptors,Mamadou N'diaye,placed on IL with plantar fasciaitis in right foot,plantar fasciaitis in right foot
2002-02-22,Sonics,Vin Baker,placed on IR with dislocated toes on left foot,dislocated toes on left foot
2002-02-23,Heat,Eddie House,placed on IL with bruised right quadriceps,bruised right quadriceps
2002-02-23,Raptors,Michael Bradley,placed on IL with sprained right ankle,sprained right ankle
2002-02-24,Pistons,Ratko Varda,placed on IL with back spasms,back spasms
2002-02-24,Raptors,Tracy Murray,placed on IL with back spasms,back spasms
2002-02-25,Warriors,Chris Mills,placed on IL with right ankle inflammation,right ankle inflammation
2002-02-26,Cavaliers,Chris Mihm,placed on IL with bruised right knee,bruised right knee
2002-02-26,Jazz,Quincy Lewis,placed on IL with left Achilles tendinitis,left Achilles tendinitis
2002-02-26,Kings,Mateen Cleaves,placed on IL with strained right plantar fascia muscle,strained right plantar fascia muscle
2002-02-26,Wizards,Michael Jordan (Jeffrey),placed on IL with right knee injury,right knee injury
2002-02-28,Cavaliers,DeSagana Diop,placed on IL with strained right plantar fascia,strained right plantar fascia
2002-02-28,Heat,LaPhonso Ellis,placed on IR with strained right adductor/groin,strained right adductor/groin
2002-02-28,Hornets,Jerome Moiso,placed on IL with left knee tendinitis,left knee tendinitis
2002-02-28,Spurs,Stephen Jackson,placed on IL with strained right thumb,strained right thumb
2002-03-01,76ers,Jabari Smith (Sr.),placed on IL with sprained left ankle,sprained left ankle
2002-03-01,76ers,Samuel Dalembert,placed on IR with left knee bruise/bursitis,left knee bruise/bursitis
2002-03-01,Blazers,Ruben Boumtje Boumtje,placed on IL with sprained left ankle,sprained left ankle
2002-03-01,Nuggets,Scott Williams,placed on IL with sore back,sore back
2002-03-02,Rockets,Oscar Torres,placed on IL with sprained right ankle,sprained right ankle
2002-03-03,Bucks,Sam Cassell,placed on IL with sprained left big toe,sprained left big toe
2002-03-03,Grizzlies,Antonis Fotsis,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-04,Blazers,Erick Barkley,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-03-04,Clippers,Keyon Dooling,placed on IL with sore left ankle,sore left ankle
2002-03-05,Bucks,Mark Pope,placed on IL with back spasms,back spasms
2002-03-05,Heat,Mike James (Lamont),placed on IL with patella tendinitis in both knees,patella tendinitis in both knees
2002-03-05,Mavericks,Danny Manning,placed on IL with strained lower back,strained lower back
2002-03-05,Mavericks,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IL with sore left knee,sore left knee
2002-03-07,Nuggets,Kenny Satterfield,placed on IL with left knee patella tendinitis,left knee patella tendinitis
2002-03-07,Pacers,Jamison Brewer,placed on IL with strained right calf muscle,strained right calf muscle
2002-03-07,Pistons,Zeljko Rebraca,placed on IR with fractured right orbit bone,fractured right orbit bone
2002-03-08,Sonics,Earl Watson,placed on IL with separated left shoulder,separated left shoulder
2002-03-08,Suns,Joe Crispin,placed on IL with right knee patella tendinitis,right knee patella tendinitis
2002-03-08,Warriors,Cedric Henderson (E.),placed on IL with left knee tendinitis,left knee tendinitis
2002-03-10,Bucks,Rafer Alston,placed on IR with sore right Achilles heel,sore right Achilles heel
2002-03-10,Magic,Mike Miller,placed on IL with sprained left ankle & deep bone bruise,sprained left ankle & deep bone bruise
2002-03-11,Mavericks,Evan Eschmeyer,placed on IL with sore left ankle,sore left ankle
2002-03-12,Rockets,Kevin Willis,placed on IL with sprained left wrist,sprained left wrist
2002-03-13,Cavaliers,Jeff Trepagnier,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-15,Lakers,Jelani McCoy,placed on IL with bone bruise in right foot,bone bruise in right foot
2002-03-16,Pistons,Brian Cardinal,placed on IL with tendinitis in both knees,tendinitis in both knees
2002-03-17,Raptors,Michael Stewart,placed on IL with surgery to repair hernia,surgery to repair hernia
2002-03-18,Suns,Tom Gugliotta,placed on IL with stress fracture in right foot,stress fracture in right foot
2002-03-18,Timberwolves,William Avery / Will Avery,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-19,Heat,Malik Allen,placed on IL with right knee tendinitis,right knee tendinitis
2002-03-19,Kings,Brent Price,placed on IL with strained lower back,strained lower back
2002-03-20,Wizards,Hubert Davis,placed on IR with strained right thumb,strained right thumb
2002-03-21,Nuggets,Antonio McDyess,placed on IL with right knee inflammation,right knee inflammation
2002-03-21,Nuggets,James Posey,placed on IL with partially dislocated shoulder,partially dislocated shoulder
2002-03-22,Bucks,Jason Caffey,placed on IR with right ankle bone impingement,right ankle bone impingement
2002-03-22,Nets,Lucious Harris,placed on IL with broken bone in face,broken bone in face
2002-03-22,Sonics,Vladimir Radmanovic,placed on IL with sprained right big toe,sprained right big toe
2002-03-24,76ers,Allen Iverson,placed on IR with broken left index finger,broken left index finger
2002-03-25,Celtics,Kenny Anderson,placed on IL with sprained left ankle,sprained left ankle
2002-03-25,Spurs,Terry Porter (b. 1963-04-08),placed on IL with strained right calf,strained right calf
2002-03-26,Bucks,Greg Foster,placed on IR with cervical bulging disc,cervical bulging disc
2002-03-27,Sonics,Art Long,placed on IL with strained right hamstring,strained right hamstring
2002-03-28,Bucks,Michael Redd,placed on IL with sprained MCL in left knee,sprained MCL in left knee
2002-03-28,Rockets,Walt Williams,placed on IL with bone spurs in right ankle,bone spurs in right ankle
2002-03-29,Clippers,Obinna Ekezie,placed on IL with left knee tendinitis,left knee tendinitis
2002-03-29,Heat,Jim Jackson,placed on IL with sprained right ankle,sprained right ankle
2002-03-31,Nets,Donny Marshall,placed on IL with left knee tendinitis,left knee tendinitis
2002-03-31,Nuggets,Tim Hardaway Sr.,placed on IR with fractured bone in left foot,fractured bone in left foot
2002-04-02,Magic,Jud Buechler,placed on IL with strained lower back,strained lower back
2002-04-02,Mavericks,Johnny Newman,placed on IL with strained left hamstring,strained left hamstring
2002-04-03,Bulls,A.J. Guyton,placed on IL with bruised left shoulder,bruised left shoulder
2002-04-03,Spurs,Stephen Jackson,placed on IL with sprained left thumb,sprained left thumb
2002-04-03,Wizards,Michael Jordan (Jeffrey),placed on IL with right knee inflammation,right knee inflammation
2002-04-05,Celtics,Joseph Forte,placed on IL with sprained left ankle,sprained left ankle
2002-04-06,Blazers,Rick Brunson,placed on IL with sore left knee,sore left knee
2002-04-06,Blazers,Zach Randolph,placed on IL with bruised right hip,bruised right hip
2002-04-08,Clippers,Sean Rooks,placed on IL with sprained left elbow,sprained left elbow
2002-04-08,Sonics,Randy Livingston,placed on IL with sprained right ankle,sprained right ankle
2002-04-11,Jazz,Rusty LaRue,placed on IR with left shoulder inflammation,left shoulder inflammation
2002-04-12,Heat,Chris Gatling,placed on IR with mild concussion,mild concussion
2002-04-12,Heat,LaPhonso Ellis,placed on IL with right knee inflammation,right knee inflammation
2002-04-12,Knicks,Lavor Postell,placed on IR with bruised left ankle,bruised left ankle
2002-04-12,Pistons,Mikki Moore,placed on IL with back spasms,back spasms
2002-04-12,Spurs,Cherokee Parks,placed on IL,placed on IL
2002-04-13,Bulls,Charles Oakley,placed on IR with left shoulder tendinitis,left shoulder tendinitis
2002-04-13,Mavericks,Avery Johnson,placed on IL with bruised left calf,bruised left calf
2002-04-14,Nets,Todd MacCulloch,placed on IR with plantar fasciaitis in left foot,plantar fasciaitis in left foot
2002-04-15,76ers,Derrick Coleman,placed on IL with hyperextended left knee,hyperextended left knee
2002-04-16,Bucks,Greg Foster,placed on IR with cervical bulging disc,cervical bulging disc
2002-04-16,Celtics,Antoine Walker,placed on IL with sprained left thumb,sprained left thumb
2002-04-16,Jazz,John Crotty,placed on IL with left knee inflammation,left knee inflammation
2002-04-16,Magic,Mike Miller,placed on IL with sprained left ankle,sprained left ankle
2002-04-16,Spurs,David Robinson,placed on IL with strained lower back,strained lower back
2002-04-17,76ers,Corie Blount,placed on IL with bruised right knee,bruised right knee
2002-04-17,Blazers,Ruben Patterson,placed on IR with sore Achilles tendons,sore Achilles tendons
2002-04-17,Kings,Bobby Jackson,placed on IL with sprained left thumb,sprained left thumb
2002-04-17,Magic,Patrick Ewing Sr.,placed on IL with strep throat,strep throat
2002-06-27,Cavaliers,Nick Anderson,placed on IL with sprained left wrist,sprained left wrist
2002-06-27,Knicks,Antonio McDyess,placed on IL with left knee inflammation,left knee inflammation
2002-06-27,Lakers,Tracy Murray,placed on IL with back spasms,back spasms
2002-10-28,76ers,Monty Williams,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-10-28,76ers,Sam Clancy,placed on IL with left knee injury,left knee injury
2002-10-28,76ers,Samuel Dalembert,placed on IL recovering from surgery on left knee,placed on IL recovering from surgery on left knee
2002-10-28,Blazers,Charles Smith (Cornelius),placed on IL with sore left hip,sore left hip
2002-10-28,Blazers,Chris Dudley,placed on IL with left side sacroliac pain,left side sacroliac pain
2002-10-28,Blazers,Ruben Boumtje Boumtje,placed on IL with sore right knee,sore right knee
2002-10-28,Bucks,Jamal Sampson,placed on IL with chronic left ankle pain,chronic left ankle pain
2002-10-28,Bucks,Joel Przybilla,placed on IL with bone spurs in left ankle,bone spurs in left ankle
